baseDate,sido,firstCnt,secondCnt,totalFirstCnt,totalSecondCnt,accumulatedFirstCnt,accumulatedSecondCnt,id,thirdCnt,totalThirdCnt,accumulatedThirdCnt
2022-11-01 00:00:00,부산광역시,7.0,15.0,2879973,2851420.0,2879966,2851405.0,10053,210.0,2139886.0,2139676.0
2022-11-01 00:00:00,서울특별시,42.0,29.0,8336905,8259258.0,8336863,8259229.0,10052,790.0,6073912.0,6073122.0
2022-11-01 00:00:00,전국,176.0,191.0,45121113,44690948.0,45120937,44690757.0,10051,2592.0,33657092.0,33654500.0
2022-11-01 00:00:00,세종특별자치시,0.0,3.0,300210,296507.0,300210,296504.0,10059,15.0,210782.0,210767.0
2022-11-01 00:00:00,경기도,37.0,61.0,11835543,11721590.0,11835506,11721529.0,10060,755.0,8702799.0,8702044.0
2022-11-01 00:00:00,제주특별자치도,7.0,1.0,590878,585252.0,590871,585251.0,10068,33.0,438829.0,438796.0
2022-11-01 00:00:00,경상남도,7.0,9.0,2882918,2853849.0,2882911,2853840.0,10067,111.0,2145073.0,2144962.0
2022-11-01 00:00:00,경상북도,9.0,9.0,2293285,2269631.0,2293276,2269622.0,10066,68.0,1726817.0,1726749.0
2022-11-01 00:00:00,전라남도,5.0,4.0,1655229,1640944.0,1655224,1640940.0,10065,38.0,1364739.0,1364701.0
2022-11-01 00:00:00,전라북도,8.0,12.0,1593936,1581067.0,1593928,1581055.0,10064,35.0,1285534.0,1285499.0
2022-11-01 00:00:00,충청남도,15.0,9.0,1901476,1884054.0,1901461,1884045.0,10063,80.0,1478998.0,1478918.0
2022-11-01 00:00:00,충청북도,5.0,6.0,1430632,1418183.0,1430627,1418177.0,10062,54.0,1108112.0,1108058.0
2022-11-01 00:00:00,강원도,3.0,4.0,1351675,1340467.0,1351672,1340463.0,10061,58.0,1064598.0,1064540.0
2022-10-31 00:00:00,울산광역시,0.0,0.0,968327,959083.0,968327,959083.0,10040,0.0,720372.0,720372.0
2022-10-31 00:00:00,대전광역시,0.0,0.0,1245600,1233513.0,1245600,1233513.0,10039,0.0,908854.0,908854.0
2022-10-31 00:00:00,광주광역시,0.0,0.0,1262254,1250831.0,1262254,1250831.0,10038,1.0,968959.0,968958.0
2022-10-31 00:00:00,인천광역시,1.0,0.0,2573540,2549366.0,2573539,2549366.0,10037,5.0,1913750.0,1913745.0
2022-10-31 00:00:00,대구광역시,0.0,0.0,2018711,1995911.0,2018711,1995911.0,10036,0.0,1404730.0,1404730.0
2022-10-31 00:00:00,부산광역시,0.0,0.0,2879970,2851408.0,2879970,2851408.0,10035,4.0,2139672.0,2139668.0
2022-10-31 00:00:00,서울특별시,1.0,1.0,8336734,8259098.0,8336733,8259097.0,10034,6.0,6073026.0,6073020.0
2022-10-31 00:00:00,전국,4.0,6.0,45120806,44690617.0,45120802,44690611.0,10033,37.0,33654364.0,33654327.0
2022-10-31 00:00:00,경기도,2.0,4.0,11835514,11721534.0,11835512,11721530.0,10041,13.0,8702008.0,8701995.0
2022-10-31 00:00:00,세종특별자치시,0.0,0.0,300244,296538.0,300244,296538.0,10042,0.0,210794.0,210794.0
2022-10-31 00:00:00,제주특별자치도,0.0,0.0,590876,585255.0,590876,585255.0,10050,0.0,438805.0,438805.0
